record_id_document,document_symbol_found,lang_field,doc_url,date_document
624853.0,A/62/PV.95,English,https://digitallibrary.un.org/record/624853/files/A_62_PV.95-EN.pdf,2008-04-18
624669.0,S/PV.5868,English,https://digitallibrary.un.org/record/624669/files/S_PV.5868-EN.pdf,2008-04-17
631208.0,E/2008/SR.4,English,https://digitallibrary.un.org/record/631208/files/E_2008_SR.4-EN.pdf,2008-04-14
623400.0,S/PV.5859,English,https://digitallibrary.un.org/record/623400/files/S_PV.5859-EN.pdf,2008-03-25
621260.0,S/PV.5847,English,https://digitallibrary.un.org/record/621260/files/S_PV.5847-EN.pdf,2008-03-01
620105.0,S/PV.5839,English,https://digitallibrary.un.org/record/620105/files/S_PV-5839-EN.pdf,2008-02-18
624085.0,E/2008/SR.1,English,https://digitallibrary.un.org/record/624085/files/E_2008_SR-1-EN.pdf,2008-01-14
613465.0,A/62/PV.66,English,https://digitallibrary.un.org/record/613465/files/A_62_PV.66-EN.pdf,2007-12-11
612149.0,S/PV.5781,English,https://digitallibrary.un.org/record/612149/files/S_PV.5781-EN.pdf,2007-11-20
611102.0,S/PV.5776,English,https://digitallibrary.un.org/record/611102/files/S_PV.5776-EN.pdf,2007-11-06
617377.0,A/C.5/62/SR.10,English,https://digitallibrary.un.org/record/617377/files/A_C.5_62_SR.10-EN.pdf,2007-10-25
609915.0,A/62/PV.31,English,https://digitallibrary.un.org/record/609915/files/A_62_PV.31-EN.pdf,2007-10-23
610178.0,S/PV.5766,English,https://digitallibrary.un.org/record/610178/files/S_PV.5766-EN.pdf,2007-10-23
609554.0,A/62/PV.27,English,https://digitallibrary.un.org/record/609554/files/A_62_PV.27-EN.pdf,2007-10-18
608866.0,S/PV.5753,English,https://digitallibrary.un.org/record/608866/files/S_PV.5753-EN.pdf,2007-10-05
611712.0,A/62/PV.17,English,https://digitallibrary.un.org/record/611712/files/A_62_PV.17-EN.pdf,2007-10-04
607727.0,A/62/PV.4,English,https://digitallibrary.un.org/record/607727/files/A_62_PV.4-EN.pdf,2007-09-25
607746.0,S/PV.5749,English,https://digitallibrary.un.org/record/607746/files/S_PV.5749-EN.pdf,2007-09-25
605867.0,S/PV.5735,English,https://digitallibrary.un.org/record/605867/files/S_PV.5735-EN.pdf,2007-08-28
604936.0,S/PV.5729,English,https://digitallibrary.un.org/record/604936/files/S_PV.5729-EN.pdf,2007-08-10
604307.0,S/PV.5727,English,https://digitallibrary.un.org/record/604307/files/S_PV.5727-EN.pdf,2007-07-31
611930.0,E/2007/SR.19,English,https://digitallibrary.un.org/record/611930/files/E_2007_SR.19-EN.pdf,2007-07-05
631584.0,E/2007/SR.13,English,https://digitallibrary.un.org/record/631584/files/E_2007_SR.13-EN.pdf,2007-07-02
603768.0,A/61/PV.103,English,https://digitallibrary.un.org/record/603768/files/A_61_PV.103-EN.pdf,2007-06-15
