record_id,speaker,speaker_organization,document_symbol,date,sg_number,year,month,day,body,sub_body,doc_number,doc_type,add_part,lang_field,doc_url,date_document,text_based,speech_index,multiple_matches,tokens,types,sentences,file_name
482846,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/57/PV.38,2002-10-30,7,2002,10,30,A,,57.0,PV.38,,English,https://digitallibrary.un.org/record/477383/files/A_57_PV-38-EN.pdf,2002-10-30,True,0,False,1139,420,46,A_2002_57_PV.38_speech.txt
487084,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/57/PV.70,2002-12-09,7,2002,12,9,A,,57.0,PV.70,,English,https://digitallibrary.un.org/record/480651/files/A_57_PV.70-EN.pdf,2002-12-09,True,0,False,725,300,27,A_2002_57_PV.70_speech.txt
505935,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/58/PV.5,2003-09-22,7,2003,9,22,A,,58.0,PV.5,,English,https://digitallibrary.un.org/record/502644/files/A_58_PV.5-EN.pdf,2003-09-22,True,0,False,648,285,25,A_2003_58_PV.5_speech.txt
503615,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/58/PV.3,2003-09-22,7,2003,9,22,A,,58.0,PV.3,,English,https://digitallibrary.un.org/record/502642/files/A_58_PV.3-EN.pdf,2003-09-22,True,0,False,894,357,42,A_2003_58_PV.3_speech.txt
503719,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/58/PV.7,2003-09-23,7,2003,9,23,A,,58.0,PV.7,,English,https://digitallibrary.un.org/record/502646/files/A_58_PV.7-EN.pdf,2003-09-23,True,0,False,2299,732,84,A_2003_58_PV.7_speech.txt
507735,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/58/PV.50,2003-10-31,7,2003,10,31,A,,58.0,PV.50,,English,https://digitallibrary.un.org/record/505183/files/A_58_PV.50-EN.pdf,2003-10-31,True,0,False,868,383,35,A_2003_58_PV.50_speech.txt
532925,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.3,2004-09-21,7,2004,9,21,A,,59.0,PV.3,,English,https://digitallibrary.un.org/record/530719/files/A_59_PV-3-EN.pdf,2004-09-21,True,0,False,1859,632,83,A_2004_59_PV.3_speech.txt
539205,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.52,2004-11-11,7,2004,11,11,A,,59.0,PV.52,,English,https://digitallibrary.un.org/record/534874/files/A_59_PV.52-EN.pdf,2004-11-11,True,0,False,512,246,18,A_2004_59_PV.52_speech.txt
540672,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.67,2004-12-06,7,2004,12,6,A,,59.0,PV.67,,English,https://digitallibrary.un.org/record/536592/files/A_59_PV.67-EN.pdf,2004-12-06,True,0,False,595,277,31,A_2004_59_PV.67_speech.txt
539527,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.68,2004-12-08,7,2004,12,8,A,,59.0,PV.68,,English,https://digitallibrary.un.org/record/536710/files/A_59_PV.68-EN.pdf,2004-12-08,True,0,False,1270,455,54,A_2004_59_PV.68_speech.txt
542726,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.77,2005-01-18,7,2005,1,18,A,,59.0,PV.77,,English,https://digitallibrary.un.org/record/539318/files/A_59_PV.77-EN.pdf,2005-01-18,True,0,False,1292,523,59,A_2005_59_PV.77_speech.txt
544640,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/S-28/PV.1,2005-01-24,7,2005,1,24,A,S-28,,PV.1,,English,https://digitallibrary.un.org/record/539718/files/A_S-28_PV.1-EN.pdf,2005-01-24,True,0,False,1190,454,57,A_2005_S-28_PV.1_speech.txt
544171,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.83,2005-03-21,7,2005,3,21,A,,59.0,PV.83,,English,https://digitallibrary.un.org/record/544035/files/A_59_PV.83-EN.pdf,2005-03-21,True,0,False,2355,712,76,A_2005_59_PV.83_speech.txt
552339,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.99,2005-06-02,7,2005,6,2,A,,59.0,PV.99,,English,https://digitallibrary.un.org/record/550940/files/A_59_PV.99-EN.pdf,2005-06-02,True,0,False,907,360,39,A_2005_59_PV.99_speech.txt
553443,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/59/PV.106,2005-06-27,7,2005,6,27,A,,59.0,PV.106,,English,https://digitallibrary.un.org/record/553254/files/A_59_PV.106-EN.pdf,2005-06-27,True,0,False,946,423,47,A_2005_59_PV.106_speech.txt
557789,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.3,2005-09-14,7,2005,9,14,A,,60.0,PV.3,,English,https://digitallibrary.un.org/record/556619/files/A_60_PV.3-EN.pdf,2005-09-14,True,0,False,661,328,29,A_2005_60_PV.3_speech.txt
556991,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.2,2005-09-14,7,2005,9,14,A,,60.0,PV.2,,English,https://digitallibrary.un.org/record/556618/files/A_60_PV.2-EN.pdf,2005-09-14,True,0,False,1814,620,71,A_2005_60_PV.2_speech.txt
560460,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.9,2005-09-17,7,2005,9,17,A,,60.0,PV.9,,English,https://digitallibrary.un.org/record/556625/files/A_60_PV.9-EN.pdf,2005-09-17,True,0,False,1868,639,86,A_2005_60_PV.9_speech.txt
567774,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.61,2005-12-08,7,2005,12,8,A,,60.0,PV.61,,English,https://digitallibrary.un.org/record/562419/files/A_60_PV.61-EN.pdf,2005-12-08,True,0,False,681,304,28,A_2005_60_PV.61_speech.txt
565760,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.63,2005-12-15,7,2005,12,15,A,,60.0,PV.63,,English,https://digitallibrary.un.org/record/563191/files/A_60_PV.63-EN.pdf,2005-12-15,True,0,False,582,269,27,A_2005_60_PV.63_speech.txt
567166,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.66,2005-12-20,7,2005,12,20,A,,60.0,PV.66,,English,https://digitallibrary.un.org/record/563473/files/A_60_PV.66-EN.pdf,2005-12-20,True,0,False,619,287,28,A_2005_60_PV.66_speech.txt
570142,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.71,2006-03-07,7,2006,3,7,A,,60.0,PV.71,,English,https://digitallibrary.un.org/record/569790/files/A_60_PV.71-EN.pdf,2006-03-07,True,0,False,1981,649,59,A_2006_60_PV.71_speech.txt
573652,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.75,2006-03-30,7,2006,3,30,A,,60.0,PV.75,,English,https://digitallibrary.un.org/record/572822/files/A_60_PV.75-EN.pdf,2006-03-30,True,0,False,1185,412,42,A_2006_60_PV.75_speech.txt
577479,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.78,2006-05-02,7,2006,5,2,A,,60.0,PV.78,,English,https://digitallibrary.un.org/record/574196/files/A_60_PV.78-EN.pdf,2006-05-02,True,0,False,1184,434,39,A_2006_60_PV.78_speech.txt
577894,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.84,2006-05-31,7,2006,5,31,A,,60.0,PV.84,,English,https://digitallibrary.un.org/record/576140/files/A_60_PV.84-EN.pdf,2006-05-31,True,0,False,826,355,43,A_2006_60_PV.84_speech.txt
578935,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.86,2006-06-02,7,2006,6,2,A,,60.0,PV.86,,English,https://digitallibrary.un.org/record/576360/files/A_60_PV.86-EN.pdf,2006-06-02,True,0,False,435,204,21,A_2006_60_PV.86_speech.txt
578882,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/60/PV.88,2006-06-06,7,2006,6,6,A,,60.0,PV.88,,English,https://digitallibrary.un.org/record/576430/files/A_60_PV.88-EN.pdf,2006-06-06,True,0,False,1622,562,52,A_2006_60_PV.88_speech.txt
584526,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/61/PV.3,2006-09-14,7,2006,9,14,A,,61.0,PV.3,,English,https://digitallibrary.un.org/record/582881/files/A_61_PV.3-EN.pdf,2006-09-14,True,0,False,1241,462,61,A_2006_61_PV.3_speech.txt
586082,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/61/PV.10,2006-09-19,7,2006,9,19,A,,61.0,PV.10,,English,https://digitallibrary.un.org/record/583257/files/A_61_PV.10-EN.pdf,2006-09-19,True,0,False,2377,771,101,A_2006_61_PV.10_speech.txt
588382,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/61/PV.31,2006-10-13,7,2006,10,13,A,,61.0,PV.31,,English,https://digitallibrary.un.org/record/584759/files/A_61_PV.31-EN.pdf,2006-10-13,True,0,False,507,244,20,A_2006_61_PV.31_speech.txt
592458,"Annan, Kofi, 1938-2018",UN. Secretary-General,A/61/PV.78,2006-12-14,7,2006,12,14,A,,61.0,PV.78,,English,https://digitallibrary.un.org/record/589009/files/A_61_PV.78-EN.pdf,2006-12-14,True,0,False,461,225,25,A_2006_61_PV.78_speech.txt
596137,"Ban, Ki-moon, 1944-",UN. Secretary-General,A/61/PV.88,2007-03-15,8,2007,3,15,A,,61.0,PV.88,,English,https://digitallibrary.un.org/record/594880/files/A_61_PV.88-EN.pdf,2007-03-15,True,0,False,667,280,24,A_2007_61_PV.88_speech.txt
