record_id,speech_code,lang_field,doc_url,date
3956562,S/PV.8954,English,https://digitallibrary.un.org/record/3956562/files/S_PV.8954-EN.pdf,2022-01-26
3956440,S/PV.8953 (Resumption 1),English,https://digitallibrary.un.org/record/3956440/files/S_PV.8953_%28Resumption_1%29-EN.pdf,2022-01-25
3956343,S/PV.8953,English,https://digitallibrary.un.org/record/3956343/files/S_PV.8953-EN.pdf,2022-01-25
3985314,A/76/PV.56,English,https://digitallibrary.un.org/record/3985314/files/A_76_PV.56-EN.pdf,2022-01-21
3951331,S/PV.8923 (Resumption 1),English,https://digitallibrary.un.org/record/3951331/files/S_PV.8923_%28Resumption_1%29-EN.pdf,2021-12-09
3951258,S/PV.8923,English,https://digitallibrary.un.org/record/3951258/files/S_PV.8923-EN.pdf,2021-12-09
3948929,S/PV.8906 (Resumption 1),English,https://digitallibrary.un.org/record/3948929/files/S_PV.8906_%28Resumption_1%29-EN.pdf,2021-11-16
3948723,S/PV.8906,English,https://digitallibrary.un.org/record/3948723/files/S_PV.8906-EN.pdf,2021-11-16
3948039,S/PV.8900 (Resumption 1),English,https://digitallibrary.un.org/record/3948039/files/S_PV.8900_%28Resumption_1%29-EN.pdf,2021-11-09
3948038,S/PV.8900,English,https://digitallibrary.un.org/record/3948038/files/S_PV.8900-EN.pdf,2021-11-09
3945498,S/PV.8886 (Resumption 1),English,https://digitallibrary.un.org/record/3945498/files/S_PV.8886_%28Resumption_1%29-EN.pdf,2021-10-21
3945497,S/PV.8886,English,https://digitallibrary.un.org/record/3945497/files/S_PV.8886-EN.pdf,2021-10-21
3958564,A/76/PV.19,English,https://digitallibrary.un.org/record/3958564/files/A_76_PV.19-EN.pdf,2021-10-14
3966857,A/C.5/76/SR.3,English,https://digitallibrary.un.org/record/3966857/files/A_C.5_76_SR.3-EN.pdf,2021-10-13
3943757,S/PV.8877,English,https://digitallibrary.un.org/record/3943757/files/S_PV.8877-EN.pdf,2021-10-12
3943187,S/PV.8875,English,https://digitallibrary.un.org/record/3943187/files/S_PV.8875-EN.pdf,2021-10-06
3941891,S/PV.8864,English,https://digitallibrary.un.org/record/3941891/files/S_PV.8864-EN.pdf,2021-09-23
3950487,A/76/PV.5,English,https://digitallibrary.un.org/record/3950487/files/A_76_PV.5-EN.pdf,2021-09-22
3948377,A/76/PV.3,English,https://digitallibrary.un.org/record/3948377/files/A_76_PV.3-EN.pdf,2021-09-21
3947090,A/76/PV.1,English,https://digitallibrary.un.org/record/3947090/files/A_76_PV.1-EN.pdf,2021-09-14
3944693,A/75/PV.105,English,https://digitallibrary.un.org/record/3944693/files/A_75_PV.105-EN.pdf,2021-09-14
3939883,S/PV.8851,English,https://digitallibrary.un.org/record/3939883/files/S_PV.8851-EN.pdf,2021-09-08
3937815,S/PV.8843,English,https://digitallibrary.un.org/record/3937815/files/S_PV.8843-EN.pdf,2021-08-26
3936891,S/PV.8838,English,https://digitallibrary.un.org/record/3936891/files/S_PV.8838-EN.pdf,2021-08-18
