record_id,speaker,speaker_organization,document_symbol,document_symbol_searchable,date,year,month,day,body,sub_body,doc_number,doc_type,add_part,file_prefix,file_name_pdf
3967464,"Guterres, António, 1949-",UN. Secretary-General,A/C.5/76/SR.3,AC576SR3,2021-10-13,2021,10,13,A,C.5,76,SR.3,,A_2021_C.5_76_SR.3_,A_2021_C.5_76_SR.3_speeches.pdf
3943836,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8877,SPV8877,2021-10-12,2021,10,12,S,,,PV.8877,,S_2021_PV.8877_,S_2021_PV.8877_speeches.pdf
3943615,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8875,SPV8875,2021-10-06,2021,10,6,S,,,PV.8875,,S_2021_PV.8875_,S_2021_PV.8875_speeches.pdf
3941967,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8864,SPV8864,2021-09-23,2021,9,23,S,,,PV.8864,,S_2021_PV.8864_,S_2021_PV.8864_speeches.pdf
3950686,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.5,A76PV5,2021-09-22,2021,9,22,A,,76,PV.5,,A_2021_76_PV.5_,A_2021_76_PV.5_speeches.pdf
3948703,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.3,A76PV3,2021-09-21,2021,9,21,A,,76,PV.3,,A_2021_76_PV.3_,A_2021_76_PV.3_speeches.pdf
3947174,"Guterres, António, 1949-",UN. Secretary-General,A/76/PV.1,A76PV1,2021-09-14,2021,9,14,A,,76,PV.1,,A_2021_76_PV.1_,A_2021_76_PV.1_speeches.pdf
3944662,"Guterres, António, 1949-",UN. Secretary-General,A/75/PV.105,A75PV105,2021-09-14,2021,9,14,A,,75,PV.105,,A_2021_75_PV.105_,A_2021_75_PV.105_speeches.pdf
3940368,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8851,SPV8851,2021-09-08,2021,9,8,S,,,PV.8851,,S_2021_PV.8851_,S_2021_PV.8851_speeches.pdf
3938275,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8843,SPV8843,2021-08-26,2021,8,26,S,,,PV.8843,,S_2021_PV.8843_,S_2021_PV.8843_speeches.pdf
3936899,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8838,SPV8838,2021-08-18,2021,8,18,S,,,PV.8838,,S_2021_PV.8838_,S_2021_PV.8838_speeches.pdf
3936784,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8834,SPV8834,2021-08-16,2021,8,16,S,,,PV.8834,,S_2021_PV.8834_,S_2021_PV.8834_speeches.pdf
3930410,"Guterres, António, 1949-",UN. Secretary-General,S/PV.8803,SPV8803,2021-06-23,2021,6,23,S,,,PV.8803,,S_2021_PV.8803_,S_2021_PV.8803_speeches.pdf
3939252,"Guterres, António, 1949-",UN. Secretary-General,A/75/PV.82,A75PV82,2021-06-18,2021,6,18,A,,75,PV.82,,A_2021_75_PV.82_,A_2021_75_PV.82_speeches.pdf
3936720,"Guterres, António, 1949-",UN. Secretary-General,A/75/PV.72,A75PV72,2021-06-07,2021,6,7,A,,75,PV.72,,A_2021_75_PV.72_,A_2021_75_PV.72_speeches.pdf
3941352,"Guterres, António, 1949-",UN. Secretary-General,A/75/PV.67,A75PV67,2021-05-20,2021,5,20,A,,75,PV.67,,A_2021_75_PV.67_,A_2021_75_PV.67_speeches.pdf
3936405,"Guterres, António, 1949-",UN. Secretary-General,A/75/PV.63,A75PV63,2021-05-03,2021,5,3,A,,75,PV.63,,A_2021_75_PV.63_,A_2021_75_PV.63_speeches.pdf
